gene	logFC	logCPM	LR	PValue	FDR	gene_status	cols	is_sig
1	ENSG00000000971	-0.346011970785069	8.52480888972577	1.74101381683295	0.187010420708209	0.385478001578384	0	black	n.s.
2	ENSG00000001461	0.13456002363237	7.48670320314984	0.198213290827855	0.656166907801985	0.820110347318719	0	black	n.s.
3	ENSG00000002586	0.0040401302399232	9.04282836982456	0.00083391608709027	0.976962206564426	0.989773269982221	0	black	n.s.
4	ENSG00000002834	-0.304950719766582	8.82907766341568	5.84058170976079	0.0156606482467753	0.0595047581835577	0	black	n.s.
5	ENSG00000003402	-1.09026250441921	7.32401062210257	43.038710153581	5.36674177394422e-11	1.77698783181709e-09	-1	blue	Downregulated
6	ENSG00000003436	0.298434463457543	8.15817830521938	2.25473229785274	0.133206489301489	0.301049552202499	0	black	n.s.
7	ENSG00000003756	0.277878245893397	7.08068645532854	4.77192519473308	0.0289274603375685	0.0950278460853037	0	black	n.s.
8	ENSG00000004399	0.102989172850817	7.85788909392021	0.169993051667961	0.680117982954681	0.837995341077061	0	black	n.s.
9	ENSG00000004776	0.167605251187699	7.47094213732179	0.278736390350123	0.597530629699408	0.778543968490297	0	black	n.s.
10	ENSG00000005007	-0.148992858103795	7.16918477231141	1.57747073177219	0.209125390634743	0.415912320209065	0	black	n.s.
11	ENSG00000005339	0.185782996469575	7.35031609461526	2.0206263678501	0.15517512019677	0.337922363325292	0	black	n.s.
12	ENSG00000005810	0.115016460480119	7.27062476118001	0.93510072359117	0.333541003335524	0.556153259328606	0	black	n.s.
13	ENSG00000005893	0.0239254190589257	8.36335808997772	0.0422072444798591	0.837225232356592	0.927483714655258	0	black	n.s.
14	ENSG00000006007	-0.0746334846818043	7.13172280955796	0.273585718037699	0.600936521680804	0.780058235361641	0	black	n.s.
15	ENSG00000006042	0.122166816696195	7.62091630073069	1.07423401530249	0.299991036661512	0.522791397222987	0	black	n.s.
16	ENSG00000006125	0.0486219732582043	8.74631333129369	0.14274026827003	0.705571870147488	0.856325291368573	0	black	n.s.
17	ENSG00000006715	0.150940369792918	7.14295340075925	1.18318473270812	0.276708599698466	0.494967976571399	0	black	n.s.
18	ENSG00000007168	-0.0147857765007287	7.71107871088978	0.0191022922393136	0.890073628286478	0.960524360375371	0	black	n.s.
19	ENSG00000007202	0.0950354971517702	8.08257839639929	0.613049904245529	0.433641772875163	0.645813249065327	0	black	n.s.
20	ENSG00000008256	-1.10966484799866	7.86750983956506	29.1963716948149	6.54015630849792e-08	1.16604838115612e-06	-1	blue	Downregulated
21	ENSG00000008282	-0.18881410482216	6.96492557846722	1.4860292159684	0.222833572896869	0.431985321971535	0	black	n.s.
